0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:34 +0530] "GET /FashionStore/cart HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:37 +0530] "GET /FashionStore/views/product-detail.html?productId=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:38 +0530] "GET /FashionStore/cart HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:38 +0530] "GET /FashionStore/product-detail?productId=1 HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:47 +0530] "POST /FashionStore/cart HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:47 +0530] "GET /FashionStore/cart HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:50 +0530] "GET /FashionStore/products?categoryId=2 HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:50 +0530] "GET /FashionStore/home HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:50 +0530] "GET /FashionStore/cart HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:51 +0530] "GET /FashionStore/cart HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:51 +0530] "GET /FashionStore/product-detail?productId=2 HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:58 +0530] "POST /FashionStore/cart HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:58 +0530] "GET /FashionStore/cart HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:59 +0530] "GET /FashionStore/views/product-list.html?categoryId=3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:58:00 +0530] "GET /FashionStore/products?categoryId=3 HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [21/May/2026:22:58:00 +0530] "GET /FashionStore/home HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [21/May/2026:22:58:00 +0530] "GET /FashionStore/cart HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [21/May/2026:22:58:01 +0530] "GET /FashionStore/views/product-detail.html?productId=6 HTTP/1.1" 200 6444
0:0:0:0:0:0:0:1 - - [21/May/2026:22:58:02 +0530] "GET /FashionStore/cart HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [21/May/2026:22:58:02 +0530] "GET /FashionStore/product-detail?productId=6 HTTP/1.1" 200 378
